1,positive,0.8809
2,neutral,1
3,neutral,1
4,neutral,0.719
5,neutral,1
6,neutral,1
7,neutral,1
8,neutral,0.654
9,negative,-1.5267
10,neutral,1
11,neutral,1
12,negative,-1.0537
13,neutral,0.87
14,neutral,1
15,neutral,1
16,neutral,0
17,neutral,1
18,neutral,1
19,neutral,1
20,negative,-0.9626000000000001
21,neutral,1
22,neutral,0.75
23,positive,1.1489
24,positive,0.9759
25,negative,-0.8753
26,neutral,1
27,neutral,1
28,neutral,0.614
29,neutral,1
30,neutral,0.875
31,positive,0.719
32,neutral,1
33,neutral,1
34,neutral,0.797
35,negative,-1.5106000000000002
36,neutral,1
37,neutral,0.652
38,negative,-1.0346000000000002
39,neutral,1
40,positive,0.9324
41,neutral,1
42,neutral,1
43,neutral,1
44,neutral,1
45,neutral,1
46,neutral,1
47,neutral,0.769
48,positive,0.8614
49,positive,0.8609
50,neutral,1
51,neutral,1
52,positive,1.3612
53,neutral,1
54,neutral,1
55,negative,-1.5417
56,neutral,1
57,neutral,0.833
58,neutral,1
59,neutral,1
60,neutral,1
61,neutral,1
62,positive,0.6942
63,positive,1.2530000000000001
64,negative,-1.4214
65,neutral,1
66,positive,1.0489
67,positive,0.6941999999999999
68,neutral,0.605
69,positive,1.4449
70,negative,-1.2614
71,neutral,1
72,negative,-0.9542999999999999
73,neutral,1
74,neutral,1
75,neutral,1
76,neutral,1
77,neutral,0.808
78,neutral,1
79,neutral,1
80,neutral,0.8
81,neutral,1
82,neutral,1
83,neutral,1
84,positive,1.4215
85,neutral,1
86,positive,1.0758999999999999
87,neutral,1
88,positive,1.296
89,neutral,1
90,neutral,1
91,positive,0.8274
92,neutral,0.791
93,neutral,0.805
94,neutral,1
95,neutral,1
96,positive,1.3481
97,neutral,1
98,neutral,0.896
99,neutral,0.839
100,positive,1.3182
101,positive,1.296
102,positive,0.8074
103,neutral,1
104,neutral,1
105,neutral,0.829
106,neutral,1
107,neutral,1
108,neutral,0
109,neutral,0.833
110,neutral,1
111,positive,1.4022000000000001
112,neutral,1
113,positive,0.7334
114,neutral,1
115,neutral,0.755
116,neutral,1
117,positive,1.0151999999999999
118,positive,0.8169
119,positive,0.8074
120,neutral,1
121,neutral,1
122,positive,0.4889
123,neutral,1
124,neutral,0.734
125,neutral,0.654
126,neutral,0.889
127,neutral,1
128,neutral,0.714
129,positive,0.9379
130,positive,0.6859
131,positive,1.2969
132,neutral,0
133,neutral,0.769
134,neutral,1
135,positive,0.9574
136,positive,1.5533000000000001
137,neutral,1
138,positive,0.8604
139,neutral,1
140,neutral,0.87
141,neutral,1
142,positive,0.4721
143,positive,1.296
144,neutral,1
145,positive,1.1721
146,neutral,1
147,positive,1.3182
148,neutral,1
149,neutral,1
150,positive,1.1709
151,neutral,0.781
152,neutral,1
153,neutral,1
154,neutral,1
155,neutral,1
156,neutral,1
157,neutral,0
158,neutral,1
159,positive,0.9178999999999999
160,neutral,1
161,neutral,1
162,neutral,1
163,neutral,1
